time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_dock_fan_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_fan_m_dot_kg_s,dock_air_flow_ratio,dock_fan_power_w,dock_fan_heat_w,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,compressor_map_flow_kg_s,valve_opening,refrigerant_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_expansion_valve_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_superheat_to_expansion_valve_output,pid_B4_condensing_temperature_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
0.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,0.4098651507561044,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,103000.0212908643,103000.0212908643,-36.66906342250877,131128.48783522024,91419.01130459177,56426.694615965884,38880.351876250985,28128.466544355942,0.0,67008.81842060693,21024.743054624294,1533.0,103036.69035428681,354655.9902153604,1550805.4073803194,4.372703267858558,1554533.227914083,4.383214356453171,0.7474542923081233,0.09539103345998717,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09509466929724426,0.09539103345998717,0.5022468948227622,5.409865150756104,28128.466544355942,21024.743054624294,0.7474542924481272,1.0149067869748363,0.6306290067225401,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,1.0,812.0,812.0,0.0,4.027634451161993,15415.663181390977,36434.54574958496,42257.704602238395,42257.704602238395,6.27409032704403,4321.7045927464915,0.7474542924481272,18178.2683268144,4632.441516551485,0.5022468948227622,0.0,,,,,
1.0,-29.999952946878555,5.000332397391699,34.99992188210655,24.09495284026491,5.014777539284266,-26.498479891596137,-39.99866576688362,1.51330448400185,-0.16646926946077656,-4.9841772387233,39.99777912678557,42248.29399733811,25710.11231299612,25710.11231299612,67958.40631033422,77241.94685040813,102952.05916340425,102952.05916340425,-178.00052933965344,131087.3801922649,91416.90023857568,56423.2473855059,38881.836503410865,28135.321028860657,0.0,67017.15753227152,21029.866479082422,1533.0,103130.0596927439,354874.7698220674,1555787.0089153273,4.384045137092704,1554437.4725142582,4.380242284605485,0.7474542926846436,0.09547804338825988,4.027634451161993,1.2667280839337036,1.0,0.0,4.027634451162927,1.284659057778162,1.2849589558616068,3.1351777164346233,19292.804782810224,1967.3185830849704,4632.441516551485,4632.441516551485,5.550013361449931,5.000332397391699,-2.308867975883672,7.309200373275371,3.5,3.5,1.0,0.0,0.0,0.0002334335086338654,7.886758436195409e-05,0.0001545659242719113,0.0006225350415732456,0.09547804346515087,0.09547804338825978,0.5022717599752414,4.817707969262528,28135.321028860657,21029.866479082422,0.7474542924481272,1.014044892572614,0.6304101151558661,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,12.0,15415.663181390977,1533.0,0.5022717599752414,6.27409032704403,3.5
2.0,-29.999918953163576,5.000575904992009,34.99993484614755,24.09218115443366,5.011363488493945,-26.498790697513932,-39.999258786533005,1.510235232844274,-0.16405253590045277,-4.987927947315682,39.9989787530151,42250.9027163752,25720.77908796283,25720.77908796283,67971.68180433803,77244.54744907153,102965.32653703436,102965.32653703436,-177.3430577388499,131109.9243876421,91418.10501245492,56424.46027975848,38881.82748077382,28144.597850607744,0.0,67026.42533138156,21036.800471406063,1533.5943854689895,103142.66959477321,354822.89960599033,1555921.6447219567,4.385065469138872,1554489.1951695238,4.381028385979855,0.747454292403464,0.09548987547096266,4.027634451161993,1.2667351365135984,1.0,0.0,4.0276344511623865,1.284673411777782,1.2849733142731845,3.135142686255484,19293.05904069032,1967.3445101732316,4632.441516551485,4632.441516551485,5.552315986303065,5.000575904992009,-2.3114474700993615,7.31202337509137,3.5001002732131625,3.5001002732131625,1.000028649489475,0.0,0.0,0.00023343433454308044,7.886229187309722e-05,0.00015457204266998323,0.0006225596842441061,0.09548987545096382,0.09548987547096327,0.5022560011383147,4.823875411415202,28144.597850607744,21036.800471406063,0.7474542924481272,1.0141027433326943,0.6303618685836953,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451494981064742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,11.0,15415.709584681448,1533.5943854689895,0.5022560011383147,6.272973721344552,3.5001002732131625
3.0,-29.999881082733936,5.000837170305417,34.99991434595788,24.093099391926103,5.01246543055896,-26.498646414557523,-39.9990332434885,1.5112307623825696,-0.17235343674138903,-4.986729763219858,39.99871281263336,42250.13047578995,25718.648162391015,25718.648162391015,67968.77863818096,77243.80389803673,102962.45206042775,102962.45206042775,-179.4026493117708,131105.13133271885,91417.79227356317,56424.11885131649,38881.85935805187,28142.679272291105,0.0,67024.53863034298,21035.36642841804,1533.460348657042,103141.85470973952,354839.4691795872,1555958.2780271224,4.38496394334205,1554477.7288669704,4.380791495548755,0.7474542926383407,0.09548912162921461,4.027634451161993,1.2667330078268426,1.0,0.0,4.027634451160642,1.2846687534860717,1.2849686560760987,3.1351540544849565,19292.993039651443,1967.33777994029,4632.441516551485,4632.441516551485,5.551855985768965,5.000837170305417,-2.3104258134170292,7.311262983722446,3.500174285334909,3.500174285334909,1.0000497958099739,0.0,0.0,0.00023343525464388773,7.88643047256321e-05,0.00015457094991825563,0.0006225552830396014,0.095489121670825,0.09548912162921482,0.5022436466989101,4.8143763264784525,28142.679272291105,21035.36642841804,0.7474542924481272,1.0140879747497509,0.6303680911376345,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451494777409585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,90.0,15415.697781731273,1533.460348657042,0.5022436466989101,6.273570697662139,3.500174285334909
4.0,-29.999844090565066,5.001089236312668,34.9999043930643,24.09309729645031,5.012434098759445,-26.498622944336415,-39.99901812113819,1.511212952526816,-0.17693058411282436,-4.986788488196672,39.99882082248905,42250.22774564478,25719.752079137987,25719.752079137987,67969.97982478276,77243.92229904227,102963.67437818027,102963.67437818027,-180.52653450974321,131107.20506874492,91417.85595748907,56424.16140407549,38881.8828371262,28143.53069056465,0.0,67025.41352769085,21036.002820613037,1533.5071964353224,103144.20091269001,354838.65706333204,1556010.2193997572,4.385120359425886,1554482.3858191266,4.380814645969311,0.7474542924944926,0.09549133502038687,4.027634451161993,1.2667332484992224,1.0,0.0,4.0276344511622,1.2846688349320774,1.2849687386957942,3.1351538557210668,19293.00647963406,1967.3391504371075,4632.441516551485,4632.441516551485,5.552094287049838,5.001089236312668,-2.3103209280153636,7.3114101643280325,3.5002540602127734,3.5002540602127734,1.000072588632221,0.0,0.0,0.00023343615340967603,7.886443968631911e-05,0.0001545717137233569,0.0006225583593673413,0.0954913044927506,0.09549133502070817,0.5022330694531745,4.809857904083856,28143.53069056465,21036.002820613037,0.7474542924481272,1.0140926589986896,0.6303613140438072,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45149455052923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,2.0,15415.702357553077,1533.5071964353224,0.5022330694531745,6.273434151950803,3.5002540602127734
5.0,-29.85276492753538,4.758288978258105,34.99923843456483,24.040044040326052,4.935015717304143,-26.373965990697144,-39.88181721707804,1.456216780465906,0.6672014136130429,-5.077071844171122,39.980208672701245,42400.60646323527,25327.29648764487,25327.29648764487,67727.90295088015,77343.07441299877,102670.37090064364,102670.37090064364,27.70439392986009,130762.88411055927,91426.33041248964,56483.86246272616,38824.96438862609,28092.51320991563,0.0,66917.47759854172,20997.869588935937,1533.5087062963992,102642.66650671378,353591.83916401584,1548733.339491664,4.380003065549468,1553680.0601313838,4.393992982996136,0.7474542926093368,0.09501024764366932,4.027634451161993,1.2668164178403094,1.0,0.0,4.027634451161815,1.2849186870874496,1.2852232735396487,3.1345442257451412,19294.7949455035,1967.5215232014502,4632.441516551485,4632.441516551485,5.4673753348319005,4.758288978258105,-2.4413977001358576,7.199686678393963,3.5003314954088034,3.5003314954088034,1.000094712973944,0.0,0.0,0.0002370349182419408,7.991684638946482e-05,0.000157118071852476,0.0006328141590931777,0.0950102477117991,0.0950102476436692,0.502224209789845,5.744273257784187,28092.51320991563,20997.869588935937,0.7474542924481272,1.0121108174040931,0.6336252946892199,42257.704602238395,25750.0,0.0,29558.734478902745,-29558.734478902745,0.5252923390822405,0.5252923390822405,23399.01439953326,6159.7200793694865,29558.734478902745,0.26056202055579475,0.39794874172897005,1.4511423856628785,1.4514943289105684,1.266341415292512,0.00023343615340967603,0.003500888429947112,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,71816.43908114114,-3808.7344789027447,,,,,,,,,,,,,,,,23.0,15415.702725465075,1533.5087062963992,0.502224209789845,6.273484881385564,3.5003314954088034
6.0,-29.618820630229255,4.3748112406383415,34.99770509012503,23.954932134971045,4.80068866597425,-26.17681563122252,-39.70204949202014,1.3586836669674918,2.257318717279645,-5.237366511493117,39.943893401126005,42668.3436647781,24567.829991890645,24567.829991890645,67236.17365666875,77543.14902833679,102110.97902022743,102110.97902022743,411.14842751606193,130093.42583494539,91477.60208683863,56602.796723279826,38749.78373728756,27982.446814717958,0.0,66732.23055200552,20915.599976478494,1532.5087062963992,101699.83059271137,351386.63514045696,1535045.00812949,4.368535552059056,1552115.495939565,4.417115908005864,0.7474542921485156,0.09410664220885064,4.027634451161993,1.2670791980111975,1.0,0.0,4.0276344511620055,1.2853631760938515,1.285675361511319,3.133460274940935,19305.61542182157,1968.6249047148183,4632.441516551485,4632.441516551485,5.303430146740332,4.3748112406383415,-2.7101897265178203,7.085000967156162,3.4503314954088036,3.4503314954088036,0.9858089986882296,0.0,0.0,0.00024286456265915866,8.155632650009351e-05,0.00016130823615906516,0.0006496906092104256,0.094106642126649,0.0941066422088505,0.5022736831625754,7.4946852287727665,27982.446814717958,20915.599976478494,0.7474542924481272,1.007551719768613,0.6393963353514155,42257.704602238395,25750.0,0.0,47199.49852248105,-47199.49852248105,0.8489104469195669,0.8489104469195669,37427.28431374706,9772.21420873399,47199.49852248105,0.9579454646189405,0.6431139749390657,1.4502107627773184,1.450613693821102,1.2674929506444517,0.0002370349182419408,0.0034417225300246907,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,89457.20312471944,-21449.49852248105,,,,,,,,,,,,,,,,14.0,15418.050715708072,1532.5087062963992,0.5022736831625754,6.264123830582498,3.4503314954088036
7.0,-29.35309609839513,3.9427799051566073,34.99560689946676,23.868419718369864,4.65575895587067,-25.95211875747009,-39.498559933248885,1.254781614945616,4.0606591669627505,-5.413116212923932,39.90458644325057,42976.773675674835,23729.78482046469,23729.78482046469,66706.55849613952,77780.61894661775,101510.40376708243,101510.40376708243,833.1355715266836,129373.64802738748,91549.15032367643,56745.3050527334,38670.9391899367,27863.24426030505,0.0,66534.18345024175,20826.50152181083,1531.5087062963992,100677.26819555575,348981.23545725545,1519978.7405766696,4.35547412337258,1550423.3837676265,4.442712748541256,0.7474542923733039,0.0931271526705437,4.027634451161993,1.2674128160858533,1.0,0.0,4.0276344511614095,1.2858358575473947,1.2861568782704331,3.1323083949799853,19320.715104290168,1970.164643817223,4632.441516551485,4632.441516551485,5.122522267292387,3.9427799051566073,-3.0011684191165213,6.943948324273128,3.4003314954088038,3.4003314954088038,0.9715232844025153,0.0,0.0,0.00024964618100811585,8.344963518861631e-05,0.00016619654581949953,0.000669378933606739,0.09312715263177994,0.0931271526705438,0.5024199497025048,9.47377537988666,27863.24426030505,20826.50152181083,0.7474542924481272,1.0025907741999522,0.6459352388057102,42257.704602238395,25750.0,0.0,53863.9754373434,-53863.9754373434,0.9875729273480203,0.9875729273480203,42825.45811691633,11038.51732042707,53863.9754373434,1.883260219379585,0.748161308596985,1.448996386818033,1.4492150533860282,1.2693144167205945,0.00024286456265915866,0.0033500881770302973,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,96121.68003958178,-28113.975437343397,,,,,,,,,,,,,,,,16.0,15421.656034628526,1531.5087062963992,0.5024199497025048,6.245810343131339,3.4003314954088038
8.0,-29.082509788711228,3.5070035638398753,34.99304758693227,23.78481348222124,4.511561804092049,-25.722972276359712,-39.29157833391798,1.152024291740539,5.936423060719903,-5.589282994568405,39.865362990264714,43293.397454047175,22890.20616857999,22890.20616857999,66183.60362262717,78026.93841632972,100917.1445849097,100917.1445849097,1258.669811622327,128660.55173256139,91627.8829140819,56894.341951799455,38592.82329142494,27743.407147651687,0.0,66336.23043907662,20736.928766852856,1530.5087062963992,99658.47477328738,346583.11995621986,1504766.6033488922,4.34171924916301,1548736.2565976342,4.468585362129781,0.7474542927078123,0.09215184657589152,4.027634451161993,1.267768260617741,1.0,0.0,4.027634451163419,1.2863029030140445,1.2866331537178681,3.1311710808741116,19337.330987051166,1971.858992321656,4632.441516551485,4632.441516551485,4.9412833571226775,3.5070035638398753,-3.291226574599482,6.798230138439358,3.350331495408804,3.350331495408804,0.9572375701168011,0.0,0.0,0.000256730751951354,8.541704442733654e-05,0.00017131370752401743,0.0006899889903800221,0.09215184656718371,0.09215184657589158,0.5026586908604351,11.52570605528831,27743.407147651687,20736.928766852856,0.7474542924481272,0.99769919370698,0.65263577938466,42257.704602238395,25750.0,0.0,55152.95478942786,-55152.95478942786,1.0337643728827726,1.0337643728827726,43979.49343449901,11173.461354928848,55152.95478942786,2.896707446804219,0.7831548279414943,1.4476932701197356,1.4476295295644859,1.2713705718387023,0.00024964618100811585,0.003249459091368276,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,97410.65939166625,-29402.95478942786,,,,,,,,,,,,,,,,18.0,15425.74257320854,1530.5087062963992,0.5026586908604351,6.225891826535985,3.350331495408804
9.0,-28.817088744264357,3.084010050063752,34.990101134900904,23.704891825933032,4.371859001046202,-25.498025784615407,-39.088478044699855,1.0527960413972441,7.827930939784892,-5.7605336975978,39.82728553346647,43605.28488886084,22077.433429921894,22077.433429921894,65682.71831878273,78269.99218304292,100347.42561296481,100347.42561296481,1675.0084172414208,127973.42828136812,91707.25443213918,57042.54713795721,38516.34143797996,27626.00266840331,0.0,66142.34410638327,20649.174281489246,1529.5087062963992,98672.41719572339,344264.3481604589,1489864.9827388178,4.3276772361116045,1547099.7501955314,4.493929616767753,0.7474542925859602,0.09120843003692107,4.027634451161993,1.2681221830891447,1.0,0.0,4.027634451160194,1.2867536462661917,1.2870931861903938,3.1300742475835137,19354.081710376915,1973.5670907370934,4632.441516551485,4632.441516551485,4.76583100963937,3.084010050063752,-3.5721684226800976,6.65617847274385,3.300331495408804,3.300331495408804,0.9429518558310869,0.0,0.0,0.00026385955797410314,8.738915362881091e-05,0.00017647040434529224,0.0007107582801515861,0.09120843006152513,0.09120843003691417,0.502977150098007,13.588464637382685,27626.00266840331,20649.174281489246,0.7474542924481272,0.9930509601101939,0.6592642803636677,42257.704602238395,25750.0,0.0,54431.788223212905,-54431.788223212905,1.0436989720286893,1.0436989720286893,43531.21041402738,10900.57780918552,54431.788223212905,3.9361594363320673,0.7906810394156737,1.4463846933319042,1.4460183872917691,1.2734489813353083,0.000256730751951354,0.003150693039300693,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,96689.4928254513,-28681.788223212905,,,,,,,,,,,,,,,,10.0,15429.90585198639,1529.5087062963992,0.502977150098007,6.205906108349347,3.300331495408804
